code,title,speaker_code,name,language,languageOfPresentationMaterial,Video,Document
ELUNPR,Automate the Boring Stuff with Slackbot(ver.2),3TLEGG,Takanori Suzuki,ja-JP,English only,https://www.youtube.com/user/PyConJP,https://www.pycon.jp/index.html
NPMTSH,業務改善の面白さ ~毎日更新されるビジュアルコンテンツの差分をわかりやすくするためのプロトタイプを作るまで~,KQWEL7,まりーな,ja-JP,Japanese only,,
8BMTTD,Pybind11を用いたC拡張の開発,7WEAQS,Takayuki Suzuki,ja-JP,Both,,
RV9ZK9,Playwrightを使って簡単に自動テストしてみる,WACYH8,Takahiro Hama,ja-JP,Japanese only,,
7UKP7H,データに関する堅牢性と可読性を向上させるpydanticとpanderaの活用方法の提案,7VWVJR,桂川大輝,ja-JP,Japanese only,,
EEA8FG,実践：日本語文章生成　Transformersライブラリで学ぶ実装の守破離,W7XSBN,石原祥太郎,ja-JP,Japanese only,,
HFEB37,基調講演: 西内 啓氏,AAAA,西内 啓氏,ja-JP,Japanese only,,
RLTTET,はじめての量子コンピューター,HCDXGH,濵村 一航,ja-JP,Japanese only,,
7YAHLF,Pandas卒業？大規模データを様々なパッケージで高速処理してみる,9WSMCY,fujine,ja-JP,Japanese only,,
LZ8JUB,setuptoolsの最近,KCH7TR,Atsushi Odagiri,ja-JP,Japanese only,,
ANQJZ9,Building Pytest Plugins,YNUGPS,Phebe Polk,en,English only,,
HV7UAA,Pythonで公的統計APIのオープンデータ活用,YPCZ3G,Ryo YOSHI,ja-JP,Japanese only,,
ZJB8DS,"詳解 print(\""Hello, world\"")",S7CCQ7,Rei Suyama,ja-JP,Japanese only,,
K3GJVU,Python使いのためのスポーツデータ解析のきほん - PySparkとメジャーリーグデータを添えて,AWYNBT,Shinichi Nakagawa(@shinyorke),ja-JP,Japanese only,,
JWM39L,続・絵を読む技術 Pythonで読むイラストの心理戦略,QKCME9,ひろさじ / Hirosaji,ja-JP,Japanese only,,
FDW3Z8,Better project maintenance with static analysis,CTVASZ,Tushar Sadhwani,en,English only,,
GFM7LS,AST（Abstract Syntax Tree）に入門する,TF8G77,安本雅啓,ja-JP,Japanese only,,
CNFPPT,コーディング規約自動化: PyLintのカスタムルールを作ろう,D9BFUE,Takayuki Hirayama,ja-JP,Japanese only,,
PCBGF8,Pythonではじめる地理空間情報,PAGQR3,小俣 博司 (Hiroshi Omata),ja-JP,Japanese only,,
NBBLRL,Working with Rust and Python using PyO3,T8KBYJ,Quazi Nafiul Islam,en,English only,,
NKRG7V,What's new in Python 3.11 and beyond,EXZMKL,Anthony Shaw,en,Both,,
X8H3UD,Security Best Practices for Django Applications,CPJQQS,Gajendra Deshpande,en,English only,,
PDTWEW,Modernizing development workflow for a 7-year old 74K LoC Python project using Pantsbuild,RZYTWR,Joongi Kim,en,English only,,
8LXKRJ,Effective data science teams with Jupyter and databooks,F7JW9H,Murilo Cunha,en,English only,,
CRFBMR,Python Social Authで学ぶ、OAuth2.0認可コードフローにおける異常系への対処,EQKHAE,Yuuki Takahashi,ja-JP,Japanese only,,
JKLGKZ,Fast API と学ぶ WebRTC,H7GVN7,Takayuki Kawazoe,ja-JP,Japanese only,,
7DE8QY,Jupyter - Under the Hood,7VMLGN,Dhanshree Arora,en,English only,,
QRYKXS,SQL クエリ解析による E2E データリネージの実現,HXULET,Toshifumi Tsutsumi,ja-JP,Japanese only,,
PR3QXD,Network Science with Python,WTK33D,Mridul Seth,en,English only,,
J9PTD8,情報システム部門の業務におけるPythonの活用,UF77SC,Keito FUKUSHIMA,ja-JP,Japanese only,,
VZXWTG,Python ライブラリ開発における失敗談 〜開発者に選ばれるライブラリを作るために必要なこと〜,EYUWD9,池田 大志,ja-JP,Japanese only,,
K7K3BG,NLPを活用したアプリチュートリアルの改善とコールドスタート問題への対策,Q9NZFU,Takanobu Nozawa,ja-JP,Japanese only,,
PAQPX8,Reinforcement learning for guiding swarm of robots using python,URK3BB,Raihan Seraj,en,English only,,
SUUBQM,"Introducing new game development stack using XState, PyScript and Atri",SHFF8Z,Shyam Swaroop,en,English only,,
7WEVVE,Data driven approach to analyze the efficacy of LEED certified buildings using python.,AXV3SL,Tabassum Mushtary Meem,en,English only,,
3EUVUY,エッジAI開発入門,TX88YQ,Kento Kawasaki,ja-JP,Japanese only,,
J7S98E,"Python3.11新機能asyncio.TaskGroup()と2022年asyncioの\""Hello-ish world\""",GMXQN3,Junya Fukuda,ja-JP,Japanese only,,
NSNR9E,Tracking the invisible: Geoinformatics and Human Social Behavior,JUSFSE,Violeta Sosa,en,English only,,
ZX3NRW,お前はまだ本当のDjango ASGIを知らない。,VCGM7L,denzow,ja-JP,Japanese only,,
JDAAHW,Pythonに上級テクニックは要らない（そして正しい付き合い方）,LXUDSQ,清原弘貴,ja-JP,Japanese only,,
TYSXUS,Python/PyQtとQGISではじめる公共交通分析,WMD887,Kanahiro Iguchi,ja-JP,Both,,
J9XNYA,GeoDjango ORMと地理空間データの世界,8BH3GJ,阿部涼平,ja-JP,Japanese only,,
GQ7U8B,Don’t let your data model `drift` away!,CHHWUG,Neeraj Pandey,en,English only,,
LPYF7C,Pythonとアスタリスク 🐍🌟💫🐍🌟💫,UM3CWP,nikkie,ja-JP,Japanese only,,
KJFKZH,Sphinxを通して考える、「拡張」の仕方,CZRYKK,Kazuya Takei (attakei),ja-JP,Japanese only,,
8SAWQX,イベント駆動アーキテクチャについて,EEWGCS,Masataka Arai,ja-JP,Japanese only,,
TLNEJQ,Keynote: Mark Shanonn,AAAA,Mark Shanonn,en,English only,,
